code,currency,date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
001,TZS,2026-02-20,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112568135410.0,112568135410.0
001,TZS,2026-02-19,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112401224933.0,112401224933.0
001,TZS,2026-02-18,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112318693507.0,112318693507.0
001,TZS,2026-02-17,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112155626743.0,112155626743.0
001,TZS,2026-02-16,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112214266569.0,112214266569.0
001,TZS,2026-02-15,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111762930283.0,111762930283.0
001,TZS,2026-02-14,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111762930283.0,111762930283.0
001,TZS,2026-02-13,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111762930283.0,111762930283.0
001,TZS,2026-02-12,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111450120454.0,111450120454.0
001,TZS,2026-02-11,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111062007037.0,111062007037.0
001,TZS,2026-02-20,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112568135410.0,112568135410.0
001,TZS,2026-02-19,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112401224933.0,112401224933.0
001,TZS,2026-02-18,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112318693507.0,112318693507.0
001,TZS,2026-02-17,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112155626743.0,112155626743.0
001,TZS,2026-02-16,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,112214266569.0,112214266569.0
001,TZS,2026-02-15,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111762930283.0,111762930283.0
001,TZS,2026-02-14,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111762930283.0,111762930283.0
001,TZS,2026-02-13,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111762930283.0,111762930283.0
001,TZS,2026-02-12,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111450120454.0,111450120454.0
001,TZS,2026-02-11,SanlamAllianz Pesa Money Market Fund,1.0,1.0,1.0,sanlam-pesa,extracted,111062007037.0,111062007037.0
