date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
2026-03-06,Umoja Fund,1497.8276,1482.8493,1497.8276,utt-amis,extracted,503958532498.007,336459642.5376
2026-03-06,Wekeza Maisha Fund,1190.8203,1167.0038,1190.8203,utt-amis,extracted,34489977931.0578,28963210.7593
2026-03-06,Watoto Fund,881.801,872.983,881.801,utt-amis,extracted,46700858310.4517,52960770.0803
2026-03-06,Jikimu Fund,212.8116,208.5554,212.8116,utt-amis,extracted,55813688962.6248,262268052.612
2026-03-06,Liquid Fund,499.121,499.121,499.121,utt-amis,extracted,2507476109690.95,5023784436.2402
2026-03-06,Bond Fund,121.8633,121.8633,121.8633,utt-amis,extracted,1148429677916.64,9423920288.294
2026-03-05,Umoja Fund,1509.8183,1494.7201,1509.8183,utt-amis,extracted,508049107909.146,336496855.834
2026-03-05,Wekeza Maisha Fund,1193.6786,1169.805,1193.6786,utt-amis,extracted,34536440965.8502,28932780.6569
2026-03-05,Watoto Fund,884.1418,875.3004,884.1418,utt-amis,extracted,46695627847.6906,52814635.5679
2026-03-05,Jikimu Fund,213.4278,209.1592,213.4278,utt-amis,extracted,55637109666.0384,260683542.4687
2026-03-05,Liquid Fund,498.9771,498.9771,498.9771,utt-amis,extracted,2502548529075.57,5015357560.377
2026-03-05,Bond Fund,121.8276,121.8276,121.8276,utt-amis,extracted,1147366778090.03,9417954318.2486
2026-03-04,Umoja Fund,1524.6138,1509.3677,1524.6138,utt-amis,extracted,512988755330.562,336471270.54
2026-03-04,Wekeza Maisha Fund,1196.8753,1172.9378,1196.8753,utt-amis,extracted,34588698252.0241,28899166.6172
2026-03-04,Watoto Fund,887.3176,878.4444,887.3176,utt-amis,extracted,46803157968.9928,52746793.526
2026-03-04,Jikimu Fund,214.0776,209.7961,214.0776,utt-amis,extracted,55549949323.6138,259485077.5888
2026-03-04,Liquid Fund,498.8157,498.8157,498.8157,utt-amis,extracted,2498311534594.17,5008486610.6415
2026-03-04,Bond Fund,121.7933,121.7933,121.7933,utt-amis,extracted,1148793054709.15,9432320333.1155
2026-03-03,Umoja Fund,1541.5996,1526.1836,1541.5996,utt-amis,extracted,518493312685.476,336334619.0113
2026-03-03,Wekeza Maisha Fund,1200.3602,1176.353,1200.3602,utt-amis,extracted,34624851632.289,28845384.381
2026-03-03,Watoto Fund,890.394,881.4901,890.394,utt-amis,extracted,46917062510.5101,52692473.5288
2026-03-03,Jikimu Fund,214.863,210.5657,214.863,utt-amis,extracted,55639991221.5556,258955659.5828
2026-03-03,Liquid Fund,498.6817,498.6817,498.6817,utt-amis,extracted,2486895179231.35,4986939068.4543
2026-03-03,Bond Fund,121.7598,121.7598,121.7598,utt-amis,extracted,1139371277048.3,9357535876.7735
2026-03-02,Umoja Fund,1552.2143,1536.6921,1552.2143,utt-amis,extracted,521663606142.456,336077057.5601
2026-03-02,Wekeza Maisha Fund,1202.5216,1178.4712,1202.5216,utt-amis,extracted,34619239999.7542,28788871.6317
2026-03-02,Watoto Fund,892.5994,883.6734,892.5994,utt-amis,extracted,46898441640.1929,52541423.8116
2026-03-02,Jikimu Fund,215.2881,210.9823,215.2881,utt-amis,extracted,55631628929.9318,258405503.1046
2026-03-02,Liquid Fund,498.5367,498.5367,498.5367,utt-amis,extracted,2478487220465.67,4971524562.9612
2026-03-02,Bond Fund,121.7252,121.7252,121.7252,utt-amis,extracted,1134104917931.54,9316926659.2345
2026-02-27,Umoja Fund,1549.6436,1534.1471,1549.6436,utt-amis,extracted,520429860820.166,335838427.7639
2026-02-27,Wekeza Maisha Fund,1201.2275,1177.203,1201.2275,utt-amis,extracted,34552842479.3224,28764611.4913
2026-02-27,Watoto Fund,891.7792,882.8614,891.7792,utt-amis,extracted,46602152989.3138,52257501.9649
2026-02-27,Jikimu Fund,214.9844,210.6847,214.9844,utt-amis,extracted,55428581178.067,257826102.2769
2026-02-27,Liquid Fund,498.1045,498.1045,498.1045,utt-amis,extracted,2472598147234.18,4964014525.8759
2026-02-27,Bond Fund,122.6218,122.6218,122.6218,utt-amis,extracted,1141716411956.99,9310876812.5212
2026-02-26,Umoja Fund,1547.6031,1532.1271,1547.6031,utt-amis,extracted,519874048553.106,335922073.7599
2026-02-26,Wekeza Maisha Fund,1200.3082,1176.302,1200.3082,utt-amis,extracted,34404465498.1713,28663026.0088
2026-02-26,Watoto Fund,891.0843,882.1734,891.0843,utt-amis,extracted,46500924878.6064,52184654.5127
2026-02-26,Jikimu Fund,214.818,210.5216,214.818,utt-amis,extracted,55326425508.4114,257550253.0792
2026-02-26,Liquid Fund,497.9617,497.9617,497.9617,utt-amis,extracted,2471331273612.87,4962894236.8231
2026-02-26,Bond Fund,122.4267,122.4267,122.4267,utt-amis,extracted,1139221708285.7,9305335669.9128
2026-02-25,Umoja Fund,1545.4347,1529.9804,1545.4347,utt-amis,extracted,518973079021.265,335810418.8719
2026-02-25,Wekeza Maisha Fund,1199.4103,1175.4221,1199.4103,utt-amis,extracted,34307556628.891,28603686.2841
2026-02-25,Watoto Fund,890.4531,881.5485,890.4531,utt-amis,extracted,46396086375.4403,52103909.5523
2026-02-25,Jikimu Fund,214.6005,210.3085,214.6005,utt-amis,extracted,55216925160.96,257300952.5693
2026-02-25,Liquid Fund,497.8169,497.8169,497.8169,utt-amis,extracted,2469680818419.44,4961022801.8633
2026-02-25,Bond Fund,122.3924,122.3924,122.3924,utt-amis,extracted,1137684109141.81,9295381178.6072
2026-02-24,Umoja Fund,1545.2746,1529.8218,1545.2746,utt-amis,extracted,518828262646.329,335751505.1495
2026-02-24,Wekeza Maisha Fund,1199.113,1175.1307,1199.113,utt-amis,extracted,34251341498.3445,28563898.4728
2026-02-24,Watoto Fund,890.2408,881.3384,890.2408,utt-amis,extracted,46336536042.4232,52049438.2964
2026-02-24,Jikimu Fund,214.5522,210.2611,214.5522,utt-amis,extracted,55176912909.7443,257172448.8748
2026-02-24,Liquid Fund,497.6718,497.6718,497.6718,utt-amis,extracted,2466355935746.34,4955788305.2145
2026-02-24,Bond Fund,122.358,122.358,122.358,utt-amis,extracted,1136756574840.17,9290411153.0812
2026-02-23,Umoja Fund,1545.1143,1529.6631,1545.1143,utt-amis,extracted,518858897022.482,335806161.4492
2026-02-23,Wekeza Maisha Fund,1198.8157,1174.8394,1198.8157,utt-amis,extracted,34118659739.4106,28460304.7139
2026-02-23,Watoto Fund,890.0283,881.1281,890.0283,utt-amis,extracted,46236795517.6361,51949801.4814
2026-02-23,Jikimu Fund,214.5042,210.2141,214.5042,utt-amis,extracted,55194081383.7294,257310032.1428
2026-02-23,Liquid Fund,497.5276,497.5276,497.5276,utt-amis,extracted,2461533323000.19,4947530912.4735
2026-02-23,Bond Fund,122.3236,122.3236,122.3236,utt-amis,extracted,1135326687701.99,9281335680.1237
2026-02-20,Umoja Fund,1535.6341,1520.2778,1535.6341,utt-amis,extracted,515304286365.07,335564494.8216
