source,date,nav_per_unit,sale_price,repurchase_price,total_nav,units,status
whi,2026-02-20,141.2767,141.2767,141.2767,63613412167.31,450275180.0521,extracted
whi,2026-02-19,141.2398,141.2398,141.2398,63666382634.74,450767879.0611,extracted
whi,2026-02-18,141.2023,141.2023,141.2023,63633956368.81,450658048.2599,extracted
whi,2026-02-17,141.1651,141.1651,141.1651,63561904012.14,450266428.7255,extracted
whi,2026-02-16,141.1265,141.1265,141.1265,63688222325.71,451284678.4015,extracted
whi,2026-02-13,141.0142,141.0142,141.0142,63486796833.25,450215715.8501,extracted
whi,2026-02-12,140.9767,140.9767,140.9767,63235996027.49,448556465.8619,extracted
whi,2026-02-11,140.9382,140.9382,140.9382,63113737516.5,447811507.1772,extracted
whi,2026-02-10,140.8986,140.8986,140.8986,63014351122.68,447232070.0348,extracted
whi,2026-02-09,140.861,140.861,140.861,62997461178.33,447231514.5679,extracted
whi,2026-02-06,140.7472,140.7472,140.7472,62763939970.79,445933702.3346,extracted
whi,2026-02-05,140.7083,140.7083,140.7083,62709118742.07,445667392.9428,extracted
whi,2026-02-04,140.6698,140.6698,140.6698,62498743001.32,444294029.9017,extracted
whi,2026-02-03,140.6317,140.6317,140.6317,62541908175.5,444721305.6434,extracted
whi,2026-02-02,140.5918,140.5918,140.5918,62437321130.92,444103683.1088,extracted
whi,2026-01-30,140.4674,140.4674,140.4674,62450288669.3,444589227.937,extracted
whi,2026-01-29,140.4193,140.4193,140.4193,62435158956.57,444633619.2426,extracted
whi,2026-01-28,140.3724,140.3724,140.3724,62412741890.31,444622586.372,extracted
whi,2026-01-27,140.3239,140.3239,140.3239,62409073811.29,444750231.0847,extracted
whi,2026-01-26,140.2766,140.2766,140.2766,62247134405.87,443745677.4817,extracted
whi,2026-01-23,140.1349,140.1349,140.1349,62207530921.57,443911744.7307,extracted
whi,2026-01-22,140.0865,140.0865,140.0865,62083451487.02,443179464.277,extracted
whi,2026-01-21,140.0395,140.0395,140.0395,61987701418.13,442644371.3702,extracted
whi,2026-01-20,139.9926,139.9926,139.9926,61995492049.12,442848389.9573,extracted
whi,2026-01-19,139.9438,139.9438,139.9438,61853638096.89,441989118.1585,extracted
whi,2026-01-16,139.8105,139.8105,139.8105,61784438946.55,441915453.5533,extracted
whi,2026-01-15,139.7679,139.7679,139.7679,61648231456.55,441075800.9732,extracted
whi,2026-01-14,139.7221,139.7221,139.7221,61593393849.89,440827903.5039,extracted
whi,2026-01-13,139.6829,139.6829,139.6829,61552268152.46,440657266.5713,extracted
whi,2026-01-09,139.5248,139.5248,139.5248,61326482476.04,439538173.4112,extracted
whi,2026-01-08,139.4854,139.4854,139.4854,61302414888.61,439489875.249,extracted
whi,2026-01-07,139.4454,139.4454,139.4454,61326748134.17,439790358.972,extracted
whi,2026-01-06,139.4044,139.4044,139.4044,61246301960.91,439342625.4561,extracted
whi,2026-01-05,139.3757,139.3757,139.3757,56808677848.48,407593905.9809,extracted
whi,2026-01-02,139.2763,139.2763,139.2763,51460045317.94,369481807.1969,extracted
whi,2026-01-01,139.2439,139.2439,139.2439,51403368004.09,369160681.0657,extracted
whi,2025-12-31,139.2102,139.2102,139.2102,51360152055.76,368939605.4871,extracted
whi,2025-12-30,139.1776,139.1776,139.1776,51211054451.98,367954813.5907,extracted
whi,2025-12-29,139.1411,139.1411,139.1411,51306357079.44,368736175.316,extracted
whi,2025-12-24,138.9776,138.9776,138.9776,51113018666.58,367778740.5129,extracted
whi,2025-12-23,138.9429,138.9429,138.9429,51007161236.12,367108875.0447,extracted
whi,2025-12-22,138.9099,138.9099,138.9099,50953135218.58,366807045.849,extracted
whi,2025-12-19,138.8047,138.8047,138.8047,50806842898.85,366031261.5191,extracted
whi,2025-12-18,138.7712,138.7712,138.7712,50771822629.31,365867213.0395,extracted
whi,2025-12-17,138.7384,138.7384,138.7384,50948092379.39,367224175.3631,extracted
whi,2025-12-16,138.7031,138.7031,138.7031,50894060219.99,366927965.8142,extracted
whi,2025-12-15,138.6701,138.6701,138.6701,50829651846.15,366550951.0159,extracted
whi,2025-12-12,138.5685,138.5685,138.5685,50515873251.66,364555343.6194,extracted
whi,2025-12-11,138.5335,138.5335,138.5335,50469196273.47,364310492.8458,extracted
whi,2025-12-10,138.4973,138.4973,138.4973,50383100648.22,363784051.0523,extracted
whi,2025-12-08,138.4298,138.4298,138.4298,50345494827.78,363689741.0835,extracted
whi,2025-12-05,138.3276,138.3276,138.3276,50243696612.01,363222616.2579,extracted
whi,2025-12-04,138.2929,138.2929,138.2929,50142550934.44,362582241.7359,extracted
whi,2025-12-03,138.2576,138.2576,138.2576,50095598211.66,362335212.6545,extracted
whi,2025-12-02,138.2235,138.2235,138.2235,50022584996.64,361896289.9803,extracted
whi,2025-12-01,138.1872,138.1872,138.1872,49794622085.65,360341890.3008,extracted
whi,2025-11-28,138.0836,138.0836,138.0836,49652211225.13,359580775.6854,extracted
whi,2025-11-27,138.0485,138.0485,138.0485,49502494281.72,358587695.9587,extracted
whi,2025-11-26,138.0131,138.0131,138.0131,49489651993.48,358586500.4368,extracted
whi,2025-11-25,137.978,137.978,137.978,49481113782.34,358615917.1767,extracted
whi,2025-11-24,137.9412,137.9412,137.9412,49292578612.79,357344736.6302,extracted
whi,2025-11-21,137.8368,137.8368,137.8368,49233138643.44,357184288.2013,extracted
whi,2025-11-20,137.8013,137.8013,137.8013,49180497804.12,356894379.255,extracted
whi,2025-11-19,137.7654,137.7654,137.7654,49116589787.08,356523486.6912,extracted
whi,2025-11-18,137.7281,137.7281,137.7281,49113764031.81,356599527.3026,extracted
whi,2025-11-17,137.695,137.695,137.695,49134035783.48,356832379.2797,extracted
whi,2025-11-14,137.5951,137.5951,137.5951,48873003174.3,355194380.4921,extracted
whi,2025-11-13,137.5617,137.5617,137.5617,48832869355.78,354988908.2127,extracted
whi,2025-11-12,137.5276,137.5276,137.5276,48753841278.99,354502322.7605,extracted
whi,2025-11-11,137.4939,137.4939,137.4939,48542930460.96,353055077.4955,extracted
whi,2025-11-10,137.4583,137.4583,137.4583,48491435769.24,352772037.3383,extracted
whi,2025-11-07,137.3551,137.3551,137.3551,48337267166.08,351914695.0633,extracted
whi,2025-11-06,137.3195,137.3195,137.3195,48239883531.13,351296779.1874,extracted
whi,2025-11-05,137.2839,137.2839,137.2839,48195084712.4,351061557.7658,extracted
whi,2025-11-04,137.2488,137.2488,137.2488,48144874667.8,350785431.4194,extracted
whi,2025-11-03,137.2132,137.2132,137.2132,48254018700.37,351671824.2444,extracted
whi,2025-10-28,137.0118,137.0118,137.0118,48185291745.94,351687062.8386,extracted
whi,2025-10-27,136.9779,136.9779,136.9779,48150825067.01,351522596.5993,extracted
whi,2025-10-24,136.8754,136.8754,136.8754,47993065700.33,350633371.542,extracted
whi,2025-10-23,136.8408,136.8408,136.8408,48014741465.37,350880350.9277,extracted
whi,2025-10-22,136.8068,136.8068,136.8068,48022286312.51,351022650.0331,extracted
whi,2025-10-21,136.7704,136.7704,136.7704,47905188326.41,350259937.0753,extracted
whi,2025-10-20,136.7362,136.7362,136.7362,47789119818.31,349498680.9997,extracted
whi,2025-10-17,136.6332,136.6332,136.6332,47640670282.44,348675672.7576,extracted
whi,2025-10-16,136.598,136.598,136.598,47668933924.51,348972521.6677,extracted
whi,2025-10-15,136.5641,136.5641,136.5641,47662532495.49,349012240.5889,extracted
whi,2025-10-13,136.4945,136.4945,136.4945,47596641968.91,348707301.6526,extracted
whi,2025-10-10,136.392,136.392,136.392,47489837631.5,348186387.1762,extracted
whi,2025-10-09,136.3566,136.3566,136.3566,47473181339.22,348154572.5128,extracted
whi,2025-10-08,136.3218,136.3218,136.3218,47429166315.88,347920654.5497,extracted
whi,2025-10-07,136.2837,136.2837,136.2837,47366241638.49,347556095.8049,extracted
whi,2025-10-06,136.2442,136.2442,136.2442,47229445031.73,346652861.4049,extracted
whi,2025-10-03,136.1251,136.1251,136.1251,47178589141.39,346582626.3637,extracted
whi,2025-10-02,136.0859,136.0859,136.0859,47158621262.77,346535671.0993,extracted
whi,2025-10-01,136.0439,136.0439,136.0439,47039001396.15,345763316.0295,extracted
whi,2025-09-30,136.0044,136.0044,136.0044,46912533220.77,344933912.7777,extracted
whi,2025-09-29,135.9643,135.9643,135.9643,46899080414.22,344936817.9808,extracted
