source,date,nav_per_unit,sale_price,repurchase_price,total_nav,units,status
zansec,2026-02-20,129.7931,129.7931,129.7931,31097304742.78,239591355.34,extracted
zansec,2026-02-19,129.7519,129.7519,129.7519,31021686530.35,239084641.77,extracted
zansec,2026-02-18,129.7107,129.7107,129.7107,31010179842.27,239071871.81,extracted
zansec,2026-02-17,129.6695,129.6695,129.6695,30838592210.05,237824563.29,extracted
zansec,2026-02-16,129.6283,129.6283,129.6283,30833958865.6,237864408.2,extracted
zansec,2026-02-13,129.5047,129.5047,129.5047,30605778234.89,236329478.66,extracted
zansec,2026-02-12,129.4635,129.4635,129.4635,30251986254.83,233671932.67,extracted
zansec,2026-02-11,129.4223,129.4223,129.4223,30215399171.21,233463623.9,extracted
zansec,2026-02-10,129.381,129.381,129.381,30096173405.13,232616639.27,extracted
zansec,2026-02-09,129.3398,129.3398,129.3398,29971617276.53,231727722.45,extracted
zansec,2026-02-06,129.2162,129.2162,129.2162,29981340407.72,232024625.46,extracted
zansec,2026-02-05,129.175,129.175,129.175,29998962127.25,232235046.47,extracted
zansec,2026-02-03,129.0926,129.0926,129.0926,29794116269.91,230796469.12,extracted
zansec,2026-02-02,129.0514,129.0514,129.0514,29835133165.11,29835133165.11,extracted
zansec,2026-01-30,127.2695,127.2695,127.2695,29376843045.61,230823905.54,extracted
zansec,2026-01-29,125.7721,125.7721,125.7721,29101609400.3,231383664.58,extracted
zansec,2026-01-28,124.3851,124.3851,124.3851,28595913665.52,229898224.67,extracted
zansec,2026-01-27,124.3847,124.3847,124.3847,28636239971.93,230223170.31,extracted
zansec,2026-01-26,124.3835,124.3835,124.3835,28620642583.55,230099993.84,extracted
zansec,2026-01-23,124.2376,124.2376,124.2376,28493540347.41,229347156.96,extracted
zansec,2026-01-22,124.1921,124.1921,124.1921,28392205390.18,228615229.07,extracted
zansec,2026-01-21,124.1588,124.1588,124.1588,28377325575.53,228556699.77,extracted
zansec,2026-01-20,124.1219,124.1219,124.1219,28365408930.22,228528639.43,extracted
zansec,2026-01-19,124.0841,124.0841,124.0841,28341320752.1,228404128.75,extracted
zansec,2026-01-16,123.0564,123.0564,123.0564,28104306917.42,228385577.0,extracted
zansec,2026-01-15,123.001,123.001,123.001,28097823166.57,228435729.52,extracted
zansec,2026-01-14,122.9716,122.9716,122.9716,28079537102.84,228341642.32,extracted
zansec,2026-01-13,122.9345,122.9345,122.9345,28049896359.38,228169442.75,extracted
zansec,2026-01-09,122.7854,122.7854,122.7854,27965444343.86,227758710.27,extracted
zansec,2026-01-08,122.7497,122.7497,122.7497,27938338459.85,227604128.24,extracted
zansec,2026-01-07,122.7127,122.7127,122.7127,27748644473.88,226126916.56,extracted
zansec,2026-01-06,122.6757,122.6757,122.6757,27640541071.79,225313905.46,extracted
zansec,2026-01-05,122.6387,122.6387,122.6387,27317348945.71,222746563.24,extracted
zansec,2026-01-02,122.5278,122.5278,122.5278,27178635312.32,221816072.05,extracted
zansec,2025-12-31,122.4292,122.4292,122.4292,27157407546.95,221821326.51,extracted
zansec,2025-12-30,122.3799,122.3799,122.3799,27023625718.46,220817517.57,extracted
zansec,2025-12-29,121.7606,121.7606,121.7606,26687263803.25,219178156.18,extracted
zansec,2025-12-24,121.5142,121.5142,121.5142,26623521638.23,219098028.36,extracted
zansec,2025-12-23,120.2449,120.2449,120.2449,26363764933.41,219250587.21,extracted
zansec,2025-12-22,120.1856,120.1856,120.1856,26345623720.89,219207822.91,extracted
zansec,2025-12-19,120.0488,120.0488,120.0488,26678357103.96,222229306.32,extracted
zansec,2025-12-18,119.9989,119.9989,119.9989,25664509817.84,213872875.65,extracted
zansec,2025-12-16,119.9001,119.9001,119.9001,25493887136.3,212626070.67,extracted
zansec,2025-12-15,119.8506,119.8506,119.8506,24991267376.94,208520169.09,extracted
zansec,2025-12-11,119.703,119.703,119.703,24951506809.73,208445125.1,extracted
