date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
2026-03-09,Zansec Bond Fund,131.9937,131.9937,131.9937,zansec,extracted,32326266146.6,244907644.43
2026-03-06,Zansec Bond Fund,131.8701,131.8701,131.8701,zansec,extracted,31836469137.44,241422954.39
2026-03-05,Zansec Bond Fund,131.8288,131.8288,131.8288,zansec,extracted,31776259222.25,241041860.52
2026-03-04,Zansec Bond Fund,131.7876,131.7876,131.7876,zansec,extracted,31708824454.28,240605523.24
2026-03-04,Zansec Bond Fund,131.7876,131.7876,131.7876,zansec,extracted,31708824454.28,240605523.24
2026-03-03,Zansec Bond Fund,131.7464,131.7464,131.7464,zansec,extracted,31754996407.55,241031226.72
2026-03-03,Zansec Bond Fund,131.7464,131.7464,131.7464,zansec,extracted,31754996407.55,241031226.72
2026-03-02,Zansec Bond Fund,131.7052,131.7052,131.7052,zansec,extracted,31554317833.8,239582930.92
2026-03-02,Zansec Bond Fund,131.7052,131.7052,131.7052,zansec,extracted,31554317833.8,239582930.92
2026-02-27,Zansec Bond Fund,131.5816,131.5816,131.5816,zansec,extracted,31827421991.97,241883530.77
2026-02-27,Zansec Bond Fund,131.5816,131.5816,131.5816,zansec,extracted,31827421991.97,241883530.77
2026-02-26,Zansec Bond Fund,130.7904,130.7904,130.7904,zansec,extracted,31634680966.1,241873111.22
2026-02-26,Zansec Bond Fund,130.7904,130.7904,130.7904,zansec,extracted,31634680966.1,241873111.22
2026-02-25,Zansec Bond Fund,130.7492,130.7492,130.7492,zansec,extracted,31364677684.66,239884279.86
2026-02-25,Zansec Bond Fund,130.7492,130.7492,130.7492,zansec,extracted,31364677684.66,239884279.86
2026-02-23,Zansec Bond Fund,130.6668,130.6668,130.6668,zansec,extracted,31294041972.94,239494974.8
2026-02-23,Zansec Bond Fund,130.6668,130.6668,130.6668,zansec,extracted,31294041972.94,239494974.8
2026-02-23,Zansec Bond Fund,130.6668,130.6668,130.6668,zansec,extracted,31294041972.94,239494974.8
2026-02-23,Zansec Bond Fund,130.6668,130.6668,130.6668,zansec,extracted,31294041972.94,239494974.8
2026-02-20,,129.7931,129.7931,129.7931,zansec,extracted,31097304742.78,239591355.34
2026-02-20,Zansec Bond Fund,129.7931,129.7931,129.7931,zansec,extracted,31097304742.78,239591355.34
2026-02-20,Zansec Bond Fund,129.7931,129.7931,129.7931,zansec,extracted,31097304742.78,239591355.34
2026-02-20,Zansec Bond Fund,129.7931,129.7931,129.7931,zansec,extracted,31097304742.78,239591355.34
2026-02-20,Zansec Bond Fund,129.7931,129.7931,129.7931,zansec,extracted,31097304742.78,239591355.34
2026-02-20,Zansec Bond Fund,129.7931,129.7931,129.7931,zansec,extracted,31097304742.78,239591355.34
2026-02-19,,129.7519,129.7519,129.7519,zansec,extracted,31021686530.35,239084641.77
