source,fund_name,date,nav_per_unit,sale_price,repurchase_price,total_nav,units,status
utt-amis,Umoja Fund,19-02-2026,1542.6775,1542.6775,1527.2507,517561841783.98,335495823.5115,extracted
utt-amis,Wekeza Maisha Fund,19-02-2026,1197.3999,1197.3999,1173.4519,33978960007.3214,28377286.8518,extracted
utt-amis,Watoto Fund,19-02-2026,889.8424,889.8424,880.944,46151880264.509,51865227.569,extracted
utt-amis,Jikimu Fund,19-02-2026,214.0089,214.0089,209.7287,55230604303.3179,258076250.9893,extracted
utt-amis,Liquid Fund,19-02-2026,496.9529,496.9529,496.9529,2444750024083.6,4919480628.2465,extracted
utt-amis,Bond Fund,19-02-2026,122.1849,122.1849,122.1849,1133452266153.93,9276530943.6574,extracted
utt-amis,Umoja Fund,18-02-2026,1547.565,1547.565,1532.0894,519108281657.875,335435519.0354,extracted
utt-amis,Wekeza Maisha Fund,18-02-2026,1198.6153,1198.6153,1174.643,34009037789.283,28373606.4837,extracted
utt-amis,Watoto Fund,18-02-2026,891.3671,891.3671,882.4534,46187676901.8729,51816674.1747,extracted
utt-amis,Jikimu Fund,18-02-2026,214.2062,214.2062,209.922,55110610814.6642,257278371.496,extracted
utt-amis,Liquid Fund,18-02-2026,496.8075,496.8075,496.8075,2444208948868.64,4919831120.965,extracted
utt-amis,Bond Fund,18-02-2026,122.151,122.151,122.151,1132768911556.55,9273511648.418,extracted
utt-amis,Umoja Fund,17-02-2026,1530.4334,1530.4334,1515.129,513228435219.117,335348438.3412,extracted
utt-amis,Wekeza Maisha Fund,17-02-2026,1194.32,1194.32,1170.4336,33826635415.1483,28322923.9942,extracted
utt-amis,Watoto Fund,17-02-2026,887.622,887.622,878.7458,45954418427.2403,51772510.6947,extracted
utt-amis,Jikimu Fund,17-02-2026,213.2664,213.2664,209.001,54830941699.4672,257100740.7686,extracted
utt-amis,Liquid Fund,17-02-2026,496.673,496.673,496.673,2443434690349.05,4919604859.4193,extracted
utt-amis,Bond Fund,17-02-2026,122.1193,122.1193,122.1193,1132548093846.15,9274109204.0869,extracted
utt-amis,Umoja Fund,16-02-2026,1519.5963,1519.5963,1504.4003,509125761380.162,335040140.7472,extracted
utt-amis,Wekeza Maisha Fund,16-02-2026,1191.1714,1191.1714,1167.348,33614463183.821,28219669.3137,extracted
utt-amis,Watoto Fund,16-02-2026,884.7314,884.7314,875.8841,45638702848.0768,51584812.3611,extracted
utt-amis,Jikimu Fund,16-02-2026,212.615,212.615,208.3627,54640231036.6627,256991464.5027,extracted
utt-amis,Liquid Fund,16-02-2026,496.5269,496.5269,496.5269,2438403497623.01,4910919007.2683,extracted
utt-amis,Bond Fund,16-02-2026,122.0852,122.0852,122.0852,1134448765420.13,9292274274.3339,extracted
utt-amis,Umoja Fund,13-02-2026,1508.7387,1508.7387,1493.6513,505386758878.012,334973019.5066,extracted
utt-amis,Wekeza Maisha Fund,13-02-2026,1187.5088,1187.5088,1163.7586,33484044239.7196,28196881.66,extracted
utt-amis,Watoto Fund,13-02-2026,881.5777,881.5777,872.762,45423345588.1972,51525059.0916,extracted
utt-amis,Jikimu Fund,13-02-2026,211.8648,211.8648,207.6275,54309925419.6358,256342390.8038,extracted
utt-amis,Liquid Fund,13-02-2026,496.0913,496.0913,496.0913,2435753662748.32,4909890069.7566,extracted
utt-amis,Bond Fund,13-02-2026,121.9836,121.9836,121.9836,1131378818662.23,9274847105.3457,extracted
utt-amis,Umoja Fund,12-02-2026,1490.4891,1490.4891,1475.5842,499229808527.406,334943621.9225,extracted
utt-amis,Wekeza Maisha Fund,12-02-2026,1182.9851,1182.9851,1159.3254,33325025389.6658,28170282.1461,extracted
utt-amis,Watoto Fund,12-02-2026,877.6216,877.6216,868.8454,45125955789.5579,51418465.4304,extracted
utt-amis,Jikimu Fund,12-02-2026,210.8967,210.8967,206.6788,54005206748.4511,256074212.2197,extracted
utt-amis,Liquid Fund,12-02-2026,495.946,495.946,495.946,2434366644035.66,4908532136.668,extracted
utt-amis,Bond Fund,12-02-2026,121.9496,121.9496,121.9496,1130316668566.56,9268718856.7101,extracted
utt-amis,Umoja Fund,11-02-2026,1483.0192,1483.0192,1468.189,496587508728.229,334849018.1985,extracted
utt-amis,Wekeza Maisha Fund,11-02-2026,1181.1298,1181.1298,1157.5072,33232213434.9327,28135953.6306,extracted
