date,fund_name,nav_per_unit,repurchase_price,sale_price,source,status,total_nav,units
2026-02-20,,109.7727,,,vertex,extracted,6441440184.0,58679777.0
2026-02-20,Vertex Bond Fund,109.7727,,,vertex,extracted,6441440184.0,58679777.0
2026-02-20,Vertex Bond Fund,109.7727,109.7727,109.7727,vertex,extracted,6441440184.0,58679777.0
2026-02-19,,109.7123,,,vertex,extracted,6438051825.0,58681223.0
2026-02-19,Vertex Bond Fund,109.7123,,,vertex,extracted,6438051825.0,58681223.0
2026-02-19,Vertex Bond Fund,109.7123,109.7123,109.7123,vertex,extracted,6438051825.0,58681223.0
2026-02-18,,109.7138,,,vertex,extracted,6434037832.0,58643823.0
2026-02-18,Vertex Bond Fund,109.7138,,,vertex,extracted,6434037832.0,58643823.0
2026-02-18,Vertex Bond Fund,109.7138,109.7138,109.7138,vertex,extracted,6434037832.0,58643823.0
2026-02-17,,109.6473,,,vertex,extracted,6401653927.0,58384045.0
2026-02-17,Vertex Bond Fund,109.6473,,,vertex,extracted,6401653927.0,58384045.0
2026-02-17,Vertex Bond Fund,109.6473,109.6473,109.6473,vertex,extracted,6401653927.0,58384045.0
2026-02-16,,109.6192,,,vertex,extracted,6445876567.0,58802440.0
2026-02-16,Vertex Bond Fund,109.6192,,,vertex,extracted,6445876567.0,58802440.0
2026-02-16,Vertex Bond Fund,109.6192,109.6192,109.6192,vertex,extracted,6445876567.0,58802440.0
2026-02-13,,109.5226,,,vertex,extracted,6381341623.0,58265071.0
2026-02-13,Vertex Bond Fund,109.5226,,,vertex,extracted,6381341623.0,58265071.0
2026-02-13,Vertex Bond Fund,109.5226,109.5226,109.5226,vertex,extracted,6381341623.0,58265071.0
2026-02-12,,109.4917,,,vertex,extracted,6204007549.0,56661889.0
2026-02-12,Vertex Bond Fund,109.4917,,,vertex,extracted,6204007549.0,56661889.0
2026-02-12,Vertex Bond Fund,109.4917,109.4917,109.4917,vertex,extracted,6204007549.0,56661889.0
2026-02-11,,109.4558,,,vertex,extracted,6199331047.0,56637762.0
2026-02-11,Vertex Bond Fund,109.4558,,,vertex,extracted,6199331047.0,56637762.0
2026-02-11,Vertex Bond Fund,109.4558,109.4558,109.4558,vertex,extracted,6199331047.0,56637762.0
2026-02-10,,109.4221,,,vertex,extracted,6196050589.0,56625217.0
2026-02-10,Vertex Bond Fund,109.4221,,,vertex,extracted,6196050589.0,56625217.0
2026-02-10,Vertex Bond Fund,109.4221,109.4221,109.4221,vertex,extracted,6196050589.0,56625217.0
2026-02-09,,109.3146,,,vertex,extracted,6190589996.0,56630938.0
2026-02-09,Vertex Bond Fund,109.3146,,,vertex,extracted,6190589996.0,56630938.0
2026-02-09,Vertex Bond Fund,109.3146,109.3146,109.3146,vertex,extracted,6190589996.0,56630938.0
2026-02-06,,109.2813,,,vertex,extracted,6179184457.0,56543863.0
