source,date,nav_per_unit,sale_price,repurchase_price,total_nav,units,status
zansec,2026-02-20,129.7931,129.7931,129.7931,31097304742.78,239591355.34,extracted
zansec,2026-02-19,129.7519,129.7519,129.7519,31021686530.35,239084641.77,extracted
zansec,2026-02-18,129.7107,129.7107,129.7107,31010179842.27,239071871.81,extracted
zansec,2026-02-17,129.6695,129.6695,129.6695,30838592210.05,237824563.29,extracted
zansec,2026-02-16,129.6283,129.6283,129.6283,30833958865.6,237864408.2,extracted
zansec,2026-02-13,129.5047,129.5047,129.5047,30605778234.89,236329478.66,extracted
zansec,2026-02-12,129.4635,129.4635,129.4635,30251986254.83,233671932.67,extracted
zansec,2026-02-11,129.4223,129.4223,129.4223,30215399171.21,233463623.9,extracted
zansec,2026-02-10,129.381,129.381,129.381,30096173405.13,232616639.27,extracted
zansec,2026-02-09,129.3398,129.3398,129.3398,29971617276.53,231727722.45,extracted
